iso3,country_name,indicator,z_score
NLD,Netherlands,manuf_va_gdp,-0.6638761026215566
NOR,Norway,manuf_va_gdp,-1.3293381800794006
NZL,New Zealand,manuf_va_gdp,-0.6942454603463429
POL,Poland,manuf_va_gdp,0.4906870403182034
PRT,Portugal,manuf_va_gdp,-0.3528816283186684
SVK,Slovak Republic,manuf_va_gdp,0.6454459786842967
SVN,Slovenia,manuf_va_gdp,1.030323657144409
SWE,Sweden,manuf_va_gdp,-0.14713879575712566
TUR,Turkiye,manuf_va_gdp,0.5714502016826033
USA,United States,manuf_va_gdp,-0.510588155563506
